years,O10,O09,O08,O07,O06,O05,O04,O03,O02,O01,O03E,O02E,O01E,W05,W04,W03,W02,W01,E09,E08,E07,E06,E05,E04,E03,E02,E01
0,,,"12,170.70","10,113.00","7,669.20","6,393.30","5,516.40","4,849.80","4,190.70","3,637.20","6,469.80","5,682.60","4,576.80",,"5,012.40","4,577.70","4,050.30","3,555.00",,,"3,445.80","2,980.50","2,730.30","2,503.50","2,259.90","2,149.20","1,917.60"
1,,,"12,170.70","10,113.00","7,669.20","6,393.30","5,516.40","4,849.80","4,190.70","3,637.20","6,469.80","5,682.60","4,576.80",,"5,012.40","4,577.70","4,050.30","3,555.00",,,"3,445.80","2,980.50","2,730.30","2,503.50","2,259.90","2,149.20","1,917.60"
2,,,"12,570.00","10,582.80","8,425.20","7,202.10","6,385.20","5,497.80","4,772.70","3,786.00",,,,,"5,391.30","4,767.90","4,433.40","3,938.10",,,"3,760.80","3,279.90","2,914.20","2,631.60","2,402.10","2,149.20","1,917.60"
3,,,"12,834.30","10,800.30","8,978.10","7,700.40","6,812.10","5,933.40","5,496.90","4,576.80",,,,,"5,546.10","4,964.10","4,551.00","4,040.70",,,"3,905.10","3,424.80","3,055.20","2,774.10","2,547.60","2,149.20","1,917.60"
4,,,"12,908.10","10,973.40","8,978.10","7,794.30","6,906.30","6,469.80","5,682.60","4,576.80",,,,,"5,698.20","5,027.70","4,632.30","4,258.20",,,"4,095.30","3,565.50","3,199.20","2,914.80","2,547.60","2,149.20","1,917.60"
5,,,"12,908.10","10,973.40","8,978.10","7,794.30","6,906.30","6,469.80","5,682.60","4,576.80",,,,,"5,698.20","5,027.70","4,632.30","4,258.20",,,"4,095.30","3,565.50","3,199.20","2,914.80","2,547.60","2,149.20","1,917.60"
6,,,"13,238.40","11,286.00","9,012.60","8,105.70","7,301.70","6,780.30","5,799.30","4,576.80","6,780.30","5,799.30","4,887.00",,"5,960.70","5,232.30","4,894.80","4,515.00",,,"4,244.70","3,711.90","3,423.90","3,039.30","2,547.60","2,149.20","1,917.60"
7,,,"13,238.40","11,286.00","9,012.60","8,105.70","7,301.70","6,780.30","5,799.30","4,576.80","6,780.30","5,799.30","4,887.00",,"5,960.70","5,232.30","4,894.80","4,515.00",,,"4,244.70","3,711.90","3,423.90","3,039.30","2,547.60","2,149.20","1,917.60"
8,,,"13,789.50","11,595.30","9,398.70","8,291.40","7,726.20","7,120.50","5,799.30","4,576.80","7,120.50","5,983.80","5,067.90",,"6,220.20","5,635.80","5,302.80","4,893.90",,"4,957.20","4,500.60","4,042.20","3,658.50","3,039.30","2,547.60","2,149.20","1,917.60"
9,,,"13,789.50","11,595.30","9,398.70","8,291.40","7,726.20","7,120.50","5,799.30","4,576.80","7,120.50","5,983.80","5,067.90",,"6,220.20","5,635.80","5,302.80","4,893.90",,"4,957.20","4,500.60","4,042.20","3,658.50","3,039.30","2,547.60","2,149.20","1,917.60"
10,,,"13,918.20","11,952.60","9,450.00","8,700.60","8,254.80","7,340.10","5,799.30","4,576.80","7,340.10","6,295.50","5,252.70",,"6,483.00","6,055.80","5,505.60","5,070.60","6,055.50","5,176.50","4,644.90","4,170.90","3,851.70","3,039.30","2,547.60","2,149.20","1,917.60"
11,,,"13,918.20","11,952.60","9,450.00","8,700.60","8,254.80","7,340.10","5,799.30","4,576.80","7,340.10","6,295.50","5,252.70",,"6,483.00","6,055.80","5,505.60","5,070.60","6,055.50","5,176.50","4,644.90","4,170.90","3,851.70","3,039.30","2,547.60","2,149.20","1,917.60"
12,,,"14,441.70","12,308.70","9,450.00","9,001.80","8,665.50","7,701.60","5,799.30","4,576.80","7,701.60","6,536.70","5,433.90",,"6,877.80","6,253.80","5,704.50","5,318.70","6,192.90","5,312.10","4,900.50","4,419.90","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
13,,,"14,441.70","12,308.70","9,450.00","9,001.80","8,665.50","7,701.60","5,799.30","4,576.80","7,701.60","6,536.70","5,433.90",,"6,877.80","6,253.80","5,704.50","5,318.70","6,192.90","5,312.10","4,900.50","4,419.90","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
14,,,"14,592.60","12,666.60","9,987.00","9,389.70","8,951.10","7,890.60","5,799.30","4,576.80","8,007.00","6,715.80","5,682.60",,"7,224.30","6,482.70","5,948.10","5,561.70","6,365.70","5,474.70","5,113.50","4,496.10","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
15,,,"14,592.60","12,666.60","9,987.00","9,389.70","8,951.10","7,890.60","5,799.30","4,576.80","8,007.00","6,715.80","5,682.60",,"7,224.30","6,482.70","5,948.10","5,561.70","6,365.70","5,474.70","5,113.50","4,496.10","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
16,,,"15,043.50","13,789.50","10,936.20","9,982.80","9,115.50","7,890.60","5,799.30","4,576.80","8,182.50","6,715.80","5,682.60",,"7,554.00","6,718.20","6,138.60","5,753.10","6,568.80","5,650.80","5,258.70","4,551.30","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
17,,,"15,043.50","13,789.50","10,936.20","9,982.80","9,115.50","7,890.60","5,799.30","4,576.80","8,182.50","6,715.80","5,682.60",,"7,554.00","6,718.20","6,138.60","5,753.10","6,568.80","5,650.80","5,258.70","4,551.30","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
18,,,"15,696.60","14,737.80","11,493.60","10,265.40","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60",,"7,824.30","7,142.40","6,310.80","5,929.20","6,774.90","5,968.80","5,413.50","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
19,,,"15,696.60","14,737.80","11,493.60","10,265.40","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60",,"7,824.30","7,142.40","6,310.80","5,929.20","6,774.90","5,968.80","5,413.50","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
20,,"17,201.40","16,298.10","14,737.80","12,050.40","10,544.70","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60","8,912.10","8,087.70","7,428.30","6,517.20","6,143.40","7,102.80","6,130.20","5,473.20","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
21,,"17,201.40","16,298.10","14,737.80","12,050.40","10,544.70","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60","8,912.10","8,087.70","7,428.30","6,517.20","6,143.40","7,102.80","6,130.20","5,473.20","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
22,"17,675.10","17,449.80","16,700.10","14,737.80","12,367.50","10,861.80","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60","9,364.20","8,473.80","7,599.60","6,652.80","6,143.40","7,381.50","6,404.40","5,674.50","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
23,"17,675.10","17,449.80","16,700.10","14,737.80","12,367.50","10,861.80","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60","9,364.20","8,473.80","7,599.60","6,652.80","6,143.40","7,381.50","6,404.40","5,674.50","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
24,"17,675.10","17,675.10","16,700.10","14,737.80","12,688.80","10,861.80","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60","9,701.10","8,791.50","7,781.40","6,760.20","6,143.40","7,673.70","6,556.50","5,782.50","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
25,"17,675.10","17,675.10","16,700.10","14,737.80","12,688.80","10,861.80","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60","9,701.10","8,791.50","7,781.40","6,760.20","6,143.40","7,673.70","6,556.50","5,782.50","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
26,"17,675.10","17,675.10","16,700.10","14,813.70","13,310.70","10,861.80","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60","10,073.40","9,153.60","8,029.50","6,760.20","6,143.40","8,121.60","6,930.90","6,193.50","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
27,"17,675.10","17,675.10","16,700.10","14,813.70","13,310.70","10,861.80","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60","10,073.40","9,153.60","8,029.50","6,760.20","6,143.40","8,121.60","6,930.90","6,193.50","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
28,"17,675.10","17,675.10","16,700.10","14,813.70","13,310.70","10,861.80","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60","10,073.40","9,153.60","8,029.50","6,760.20","6,143.40","8,121.60","6,930.90","6,193.50","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
29,"17,675.10","17,675.10","16,700.10","14,813.70","13,310.70","10,861.80","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60","10,073.40","9,153.60","8,029.50","6,760.20","6,143.40","8,121.60","6,930.90","6,193.50","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
30,"17,675.10","17,675.10","17,118.30","15,110.10","13,576.50","10,861.80","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60","10,578.00","9,336.30","8,029.50","6,760.20","6,143.40","8,526.90","7,069.80","6,193.50","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
31,"17,675.10","17,675.10","17,118.30","15,110.10","13,576.50","10,861.80","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60","10,578.00","9,336.30","8,029.50","6,760.20","6,143.40","8,526.90","7,069.80","6,193.50","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
32,"17,675.10","17,675.10","17,118.30","15,110.10","13,576.50","10,861.80","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60","10,578.00","9,336.30","8,029.50","6,760.20","6,143.40","8,526.90","7,069.80","6,193.50","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
33,"17,675.10","17,675.10","17,118.30","15,110.10","13,576.50","10,861.80","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60","10,578.00","9,336.30","8,029.50","6,760.20","6,143.40","8,526.90","7,069.80","6,193.50","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
34,"17,675.10","17,675.10","17,545.80","15,110.10","13,576.50","10,861.80","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60","11,106.00","9,336.30","8,029.50","6,760.20","6,143.40","8,953.80","7,069.80","6,193.50","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
35,"17,675.10","17,675.10","17,545.80","15,110.10","13,576.50","10,861.80","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60","11,106.00","9,336.30","8,029.50","6,760.20","6,143.40","8,953.80","7,069.80","6,193.50","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
36,"17,675.10","17,675.10","17,545.80","15,110.10","13,576.50","10,861.80","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60","11,106.00","9,336.30","8,029.50","6,760.20","6,143.40","8,953.80","7,069.80","6,193.50","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
37,"17,675.10","17,675.10","17,545.80","15,110.10","13,576.50","10,861.80","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60","11,106.00","9,336.30","8,029.50","6,760.20","6,143.40","8,953.80","7,069.80","6,193.50","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
38,"17,675.10","17,675.10","17,545.80","15,110.10","13,576.50","10,861.80","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60","11,662.50","9,336.30","8,029.50","6,760.20","6,143.40","9,402.30","7,069.80","6,193.50","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
39,"17,675.10","17,675.10","17,545.80","15,110.10","13,576.50","10,861.80","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60","11,662.50","9,336.30","8,029.50","6,760.20","6,143.40","9,402.30","7,069.80","6,193.50","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
40,"17,675.10","17,675.10","17,545.80","15,110.10","13,576.50","10,861.80","9,210.30","7,890.60","5,799.30","4,576.80","8,421.00","6,715.80","5,682.60","11,662.50","9,336.30","8,029.50","6,760.20","6,143.40","9,402.30","7,069.80","6,193.50","4,616.40","3,874.80","3,039.30","2,547.60","2,149.20","1,917.60"
